region,year,male_total,m_0_4,m_5_9,m_10_14,m_15_19,m_20_24,m_25_29,m_30_34,m_35_39,m_40_44,m_45_49,m_50_54,m_55_59,m_60_64,m_65_69,m_70_74,m_75_79,m_80_84,m_85_89,m_90_94,m_95_99,m_100+,female_total,f_0-4,f_5_9,f_10_14,f_15_19,f_20-24,f_25_29,f_30_34,f_35_39,f_40_44,f_45_49,f_50_54,f_55_59,f_60_64,f_65_69,f_70_74,f_75_79,f_80_84,f_85_89,f_90_94,f_95_99,f_100+
North Jeolla,2014,925590,40430,42860,52264,66191,65146,50536,60153,63181,78785,77802,77934,69522,51903,43488,35858,27644,14537,5632,1504,197,0,933865,38084,39900,48868,60837,56160,44839,55088,59088,72229,71418,74095,68569,53367,47816,49032,43923,29491,14387,5283,1185,206
South Jeolla,2014,945780,40199,40306,50248,65187,62506,47456,58495,61266,77262,82153,82814,74017,54842,48792,43550,32429,16102,6217,1680,237,0,946961,38646,38050,45937,59293,52317,41029,51874,54474,65406,68341,74342,69753,55279,53947,60804,55094,36322,17461,6902,1421,269
North Gyeongsang,2014,1347427,58751,56842,67419,87241,92914,79901,92497,92416,110424,114171,119009,108750,80371,61386,54059,40801,20540,7525,2066,315,0,1335900,54763,52273,60106,76087,74440,64353,83585,84945,100022,105211,111949,107552,83194,65330,73744,65537,42573,21016,7355,1582,283
South Gyeongsang,2014,1676113,82118,81398,94560,118968,118589,95692,123950,126386,149912,148519,146211,127396,86640,63766,50674,35498,17475,6446,1645,244,0,1653557,76915,75977,84294,104511,94420,81732,114481,118833,140384,141160,139260,124248,87384,69365,70377,60788,41587,20133,6438,1078,192
Jeju,2014,302576,15325,16518,19373,22197,21216,15934,20850,22358,28445,27407,25371,21342,13681,11920,9525,6592,3287,856,315,57,0,300444,14595,15211,17406,20158,18725,14786,20040,21253,26508,24457,23500,20654,14121,12755,11754,10292,7757,3707,2147,520,98
Countrywide,2015,25497198,1162479,1202263,1276621,1697739,1878865,1632009,1896587,1987476,2209227,2231081,2140250,1984630,1391067,1038335,792612,557071,283711,100763,28894,4943,0,25543651,1103697,1130819,1178944,1550855,1664424,1491780,1807248,1916054,2135914,2171215,2085215,1990407,1448662,1125700,978309,816272,545944,278835,98757,21000,3600
Seoul,2015,4847170,201856,199529,215117,292670,353070,365199,425695,401936,421949,408371,384543,367294,271743,208932,159536,100218,46487,16877,5035,978,0,5014827,191855,189262,201214,272418,346091,372983,422988,399229,422225,415831,399091,399101,298274,232252,179850,129248,80263,42817,15765,3481,589
Busan,2015,1715802,69405,67964,74377,106783,130413,109349,122460,127471,136809,141433,143447,150908,117717,86986,63668,40519,18474,5899,1478,221,0,1759752,65560,64158,68670,94970,113832,100988,117230,122164,135735,146189,153080,162418,126484,95455,74959,57613,35475,17851,5703,1042,176
Daegu,2015,1226204,51916,55274,64051,89375,99772,79097,82110,88831,103280,109935,106533,97015,68973,49897,36704,25326,12927,4019,997,160,0,1242067,49394,51464,57155,78600,81506,65200,79880,89273,107126,113435,110058,100614,75707,56608,47491,38221,24469,11300,3686,762,118
Incheon,2015,1453307,69264,70102,71954,95629,111257,96837,112924,118925,128609,127711,130124,116042,72904,51898,36745,23933,12141,4519,1470,281,0,1444214,65580,66596,67662,88456,101138,90622,107213,112725,123615,129009,127269,113000,73478,54423,44237,36021,24306,13028,4665,1000,171
Gwangju,2015,724918,35080,39113,43526,58779,59007,44064,52965,57157,63712,63470,56331,49603,33130,26758,19851,12834,6455,2386,602,91,0,738241,32918,36554,40093,54402,53166,41812,51811,57649,64637,63910,56994,52264,36149,30179,24291,19037,12536,6757,2406,573,103
Daejon,2015,753142,36405,38146,41399,54836,59917,51446,56142,58148,65411,66135,61110,56003,37950,27036,19737,13150,6810,2490,710,145,0,754557,34441,36010,38217,50226,53240,45254,54161,58561,65921,66641,61427,57182,39332,28708,23903,18909,12922,6549,2373,487,93
Ulsan,2015,600970,30275,29778,30891,43493,48494,40307,45999,48175,49964,55056,55384,47689,31009,19889,12433,7369,3393,1057,257,54,0,565830,28639,27526,27381,38061,37661,31741,41326,44184,50035,55191,51212,45317,29734,18985,14405,11321,7517,3886,1410,256,42
Sejong,2015,105267,7583,7656,6376,5562,5979,5753,8779,10673,11275,8654,7119,6298,4424,3195,2439,1901,1065,410,113,12,0,104679,7142,7440,6203,5244,5426,5836,9574,10879,9976,7230,6312,5918,4446,3408,3157,2786,2091,1117,407,76,11
Gyeonggi,2015,6240722,311702,330045,337820,426724,455790,397460,473331,517908,582633,570476,532146,458706,291375,205696,156224,109473,55690,20054,6220,1127,0,6175461,297129,311608,315856,395471,415585,368010,455999,507859,567323,556890,504177,438685,294265,223453,190798,154273,101525,52754,19092,4039,670
Gangwon,2015,774569,29866,33453,38111,51162,59917,44564,46606,50569,62183,66910,66637,68400,48614,34054,31853,24575,10998,4187,1581,279,0,761112,28603,31312,34927,46607,45085,34473,42138,48625,57604,60870,63351,67355,49299,37390,39651,34580,21718,12074,4333,962,155
North Chungcheong,2015,793262,35580,37417,40060,53735,58690,48144,54549,57293,64769,69181,67774,64362,45348,32003,27213,20981,11018,3850,1131,139,0,780204,34311,34980,36627,48960,48313,40607,49754,53090,60643,64974,63198,62264,45972,33666,34641,31105,21915,10603,3667,770,144
South Chungcheong,2015,1046886,49966,51793,52296,66924,68627,62274,76753,80695,87840,87709,85376,78361,57376,46529,36664,30475,18630,6518,1764,283,0,1016340,47193,48219,48575,61104,59594,52842,66492,70914,77322,76842,76343,75222,58311,48577,47282,45164,33290,15874,5743,1232,205
North Jeolla,2015,924102,39296,43025,48240,64682,66471,50001,56587,62932,76117,78630,75861,73096,54993,46937,35677,27581,16125,6074,1529,226,0,933146,37101,40362,44833,59785,57649,43713,52211,59010,70161,71721,71258,72358,56230,51089,47659,43333,31856,15989,5324,1290,214
South Jeolla,2015,947535,39645,41279,45694,63697,64429,46835,55886,61924,74308,82363,81400,78678,57964,51244,42331,33603,17503,6700,1754,270,0,948129,38428,38763,42069,58217,54051,40382,49913,55200,63260,68671,71656,73910,57967,55090,57787,56314,37863,19749,6963,1579,297
North Gyeongsang,2015,1348189,58360,57350,61456,85308,93652,78618,88056,93037,106730,115183,116853,114056,86560,66236,51953,41405,22847,7930,2221,347,0,1336663,54610,53011,55302,74965,75376,62534,79214,84550,97451,105021,109476,111738,90193,69448,69456,65861,45978,22557,7937,1693,292
South Gyeongsang,2015,1683960,80700,83325,86887,116134,121207,95662,117408,128627,145181,151081,143623,135230,95465,68677,49782,36823,19330,6794,1727,272,0,1659967,76056,77722,77922,102988,96856,79889,107655,120017,136457,142919,136375,131092,96969,73628,67038,61951,44029,21749,7225,1213,217
Jeju,2015,311193,15580,17014,18366,22246,22173,16399,20337,23175,28457,28783,25989,22889,15522,12368,9802,6905,3818,999,305,58,0,308462,14737,15832,16238,20381,19855,14894,19689,22125,26423,25871,23938,21969,15852,13341,11704,10535,8191,4181,2058,545,103
Countrywide,2016,25558431,1129639,1214148,1217730,1627895,1869494,1673096,1792120,2024789,2116152,2280718,2102370,2083928,1516739,1059417,796767,592669,314394,110104,30086,5583,0,25626663,1074028,1145641,1128024,1494619,1656584,1525652,1699144,1953996,2047122,2241025,2016484,2092564,1574397,1148210,963363,850213,584721,298559,104760,23629,3928
Seoul,2016,4789275,192976,196811,203453,276727,345105,369323,398360,404103,397523,417671,372271,373485,289949,206411,159641,108781,51961,18336,5175,1097,0,4970805,183419,187205,190828,258736,340611,376754,397453,402217,399523,429457,378917,405014,319920,230460,182071,136862,85558,44779,16512,3871,638
Busan,2016,1705569,67943,69199,69881,99825,127524,111453,113618,131075,130665,142662,137361,153263,124317,89702,64168,43821,20560,6675,1593,246,0,1753713,64069,65733,64783,90021,111654,102567,108270,125971,128280,148704,143232,166736,134180,99367,74404,61086,37937,19109,6180,1228,202
Daegu,2016,1223030,50688,55570,60064,84804,98314,81553,78152,89411,98483,110853,103547,101583,74165,52499,36252,27051,14283,4510,1069,162,0,1241629,48491,52210,53863,75009,81784,67061,73490,90237,101632,116098,105759,105763,80862,59928,45821,40198,26215,12310,3927,842,129
Incheon,2016,1460668,66727,71332,69021,91573,110039,100673,106528,122346,124143,130555,126263,123564,81698,52182,37963,25742,13561,4952,1458,308,0,1452914,63588,67662,64898,85191,99849,93726,100820,116253,118458,131887,124302,120459,82182,54642,44846,37632,26262,13876,5046,1159,176
Gwangju,2016,723272,33560,39032,40983,56365,59696,45281,49481,56943,61319,64513,56769,52090,35415,27096,20255,14037,7071,2599,662,98,0,736631,31796,36518,37764,52301,53372,42407,47832,57708,62024,65784,56697,55099,38254,30865,24162,20294,13331,7143,2520,638,122
Daejon,2016,750598,35124,37993,39230,52178,59587,52753,53525,58479,62077,67513,59119,58451,41658,27807,19885,14110,7496,2693,746,156,0,752451,33076,35832,36261,48015,53203,46342,50599,58598,62964,68810,58459,60076,43185,29602,23548,19734,13896,7142,2466,540,103
Ulsan,2016,600063,29520,30297,29197,41089,47849,41126,42822,49480,47823,54469,54551,50686,33792,21193,12896,8054,3744,1149,270,52,0,565766,28042,28038,26125,36184,36929,32416,38451,45347,47117,55839,49867,48245,32738,20359,14383,11713,8021,4135,1484,296,37
Sejong,2016,120995,8740,8989,7406,6341,6707,6690,9718,12625,12602,10789,7853,7330,5267,3557,2566,2032,1207,446,114,16,0,121043,8302,8871,7263,6098,6045,7033,10413,13066,11576,8981,6968,7045,5363,3822,3147,2965,2275,1254,440,91,25
Gyeonggi,2016,6333311,306068,335032,326869,415648,460147,416757,453253,532743,563555,590659,530642,492708,328883,209048,160758,117661,62621,22321,6441,1362,0,6269473,291834,317333,306523,386616,417302,384454,433384,521901,549376,582781,498941,473326,331223,225862,192693,162692,110620,56577,20670,4615,750
Gangwon,2016,774359,28582,33630,35800,49473,58390,45395,44476,50750,59207,67267,65291,71412,55105,33299,31567,25686,12549,4527,1615,290,0,762510,27628,31497,33056,44824,44978,35369,39424,49021,55208,61915,60652,70868,54940,36718,38412,35973,23426,12679,4676,1066,180
North Chungcheong,2016,797411,34696,37979,38013,51366,58875,49111,52316,57874,62637,69705,66184,68667,50786,32877,26763,21724,12394,4049,1184,187,0,783421,33339,35496,34895,47291,48510,40879,47100,53742,58498,66229,60834,66446,50712,34509,33154,31783,23699,11422,3826,900,157
South Chungcheong,2016,1057226,48510,52848,50617,64920,69513,63056,72981,83401,85002,91578,82878,84346,62256,48181,36551,30840,20455,7071,1868,325,0,1024974,46529,49254,46875,59647,59711,53209,63282,72863,75360,80478,73019,80270,62851,50419,44829,45641,35888,17194,6047,1383,225
North Jeolla,2016,921415,37668,43338,45566,62057,66655,50257,52878,62876,72116,80188,74992,76443,58295,47640,35829,28823,17402,6454,1639,267,0,930880,35423,40896,42133,57602,57650,43944,49074,59133,67024,73481,69012,75751,59375,51613,46050,44404,33690,17364,5652,1373,236
South Jeolla,2016,945654,38405,41849,42893,61098,64356,47102,52431,62149,70594,82650,81560,82472,60513,52793,41235,35514,18790,7138,1785,295,0,944976,36900,39541,39811,55844,53713,40474,47297,55806,60460,69538,69389,77738,60067,55762,54442,57918,39961,21092,7232,1706,285
North Gyeongsang,2016,1347562,56847,58251,58231,81687,92510,78333,82557,94601,101792,115821,114349,119595,93475,70379,50381,42558,24870,8578,2334,373,0,1334541,53191,53922,52438,72027,74226,62040,73664,86129,93710,106532,104752,116614,96081,73707,65000,66648,49048,24272,8345,1879,316
South Gyeongsang,2016,1687932,77987,84536,82572,110906,121323,96951,109365,131641,138720,153545,141577,143291,103797,72203,49951,38775,21244,7413,1825,284,0,1664644,73577,79280,74612,99222,96934,80968,99564,122562,130376,146947,131356,139644,104879,77071,64626,63717,46275,23638,7757,1404,235
Jeju,2016,320091,15598,17462,17934,21838,22904,17282,19659,24292,27894,30280,27163,24542,17368,12550,10106,7460,4186,1193,308,65,0,316292,14824,16353,15896,19991,20113,16009,19027,23442,25536,27564,24328,23470,17585,13504,11775,10953,8619,4573,1980,638,112
Countrywide,2017,25595073,1065906,1210624,1214158,1537462,1833098,1737610,1689263,2050356,2047932,2308831,2073731,2136318,1605618,1115179,810430,653967,341824,123089,32495,6561,0,25681241,1012690,1143326,1132528,1408239,1638742,1568187,1598564,1969056,1998184,2241022,2018763,2135445,1655255,1201388,961004,916018,616030,321024,114375,27229,4172
Seoul,2017,4745276,179284,193620,200701,258699,334033,380762,375041,406511,378937,421568,363603,373382,298575,212923,160710,122200,57340,20462,5581,1213,0,4943445,170824,183827,188669,242302,335760,385691,376471,403113,385999,428821,375378,401683,330229,237319,186450,149936,90996,47081,17917,4313,666
Busan,2017,1690216,63648,69195,68908,92546,121737,115243,105062,131548,125588,142734,132753,152085,128760,93647,65675,48830,22667,7515,1738,315,0,1742168,60101,65642,64131,83818,108548,104326,100443,126088,123763,145356,139904,165454,139389,103832,76090,66166,40186,20257,7018,1433,223
Daegu,2017,1217194,47943,55283,58939,78956,95540,84622,74223,89483,94304,110477,101874,103650,77650,55542,36587,30053,15443,5179,1224,203,0,1238884,45814,51925,53919,69602,81251,69615,67840,90121,97386,114588,105654,108269,83480,63397,46114,43341,27656,13503,4346,921,142
Incheon,2017,1463203,62365,70750,69268,86185,107254,105406,100263,123744,120454,132475,123028,127873,87779,55799,39515,28877,14777,5417,1576,360,0,1456507,59475,67147,65504,79845,97594,97196,94561,117070,115410,131585,123359,125117,88492,57677,45911,40937,27543,15003,5585,1292,204
Gwangju,2017,720535,31451,38505,40639,52809,59074,47271,45618,57007,59419,64997,57089,53267,37708,27785,20390,16033,7804,2811,734,118,0,734104,29813,36051,37354,48836,53042,43598,44038,57456,60283,66268,57574,55801,40479,31452,24514,22241,14176,7546,2749,722,111
Daejon,2017,744751,32570,37076,38427,48806,58313,54427,50404,58463,59382,67764,57879,59415,44347,29292,20078,15792,8250,3026,853,162,0,746780,30623,34906,35885,44681,52907,47478,46920,57927,60675,68218,58043,61125,45815,31197,23336,21530,14471,7605,2729,610,99
Ulsan,2017,595854,27809,30294,29232,37891,46090,41616,39511,49695,46596,53668,53431,52638,36014,22827,13515,9278,4065,1345,284,53,0,563011,26242,28068,26326,33341,36246,32623,35182,45684,45481,54416,50446,49481,35203,22039,14588,12748,8483,4386,1626,353,49
Sejong,2017,139207,9859,10641,8835,7323,7512,7778,10504,14808,14397,12906,8812,8448,6202,4112,2741,2323,1346,505,131,24,0,139839,9366,10300,8852,7037,6685,8242,11347,15603,13754,10818,8051,8097,6254,4375,3253,3309,2459,1421,485,105,26
Gyeonggi,2017,6414223,292144,336649,329446,397471,456527,440728,433701,545188,550603,606418,527841,516636,354949,225682,167168,130247,68957,25273,6843,1614,0,6345688,277809,319083,311068,368929,414499,401099,413146,528760,540344,591185,507792,495317,355108,240325,196833,176331,117988,61234,22599,5408,831
Gangwon,2017,774049,26937,32879,35181,46887,56989,47168,41854,50894,56497,67731,63848,72295,58453,36539,31530,27353,14116,4865,1639,352,0,762460,25703,31163,32422,42226,44807,36219,36897,48898,53751,61558,59575,71718,57412,39718,37366,38220,24928,13354,5128,1181,216
North Chungcheong,2017,799521,32710,37547,37698,48674,57914,51081,49349,58663,60949,69502,65192,70724,54271,35761,26551,23571,13380,4453,1263,243,0,784534,31493,35428,34881,44372,48530,41391,43977,54268,57561,65218,60716,67777,53782,37063,31661,33871,24916,12247,4196,1036,150
South Chungcheong,2017,1068913,46437,53067,51361,62332,69219,65174,69506,85822,84453,92844,82577,87802,66653,49988,36586,33156,21369,8122,2032,379,0,1033595,44483,49828,47768,56732,59245,53912,60143,74935,75339,80709,73509,82781,66077,52345,42557,48529,37177,19161,6485,1636,244
North Jeolla,2017,916525,34857,42741,44634,58998,66133,51264,48570,62141,69128,80900,74229,77781,61830,47594,36163,31819,18498,6993,1875,344,0,926101,32985,40190,41681,54422,57103,44637,45428,58239,65297,73360,68540,76757,62206,51496,43697,48453,35034,18432,6288,1611,245
South Jeolla,2017,942418,35937,41460,42304,57386,63697,48249,48245,62591,67802,82336,81641,84060,63985,53113,40855,38525,20140,7830,1876,353,0,941378,34247,39537,39542,52180,53377,41345,43992,55759,59120,69307,69178,78468,62503,55595,51323,61222,42183,22620,7573,2025,282
North Gyeongsang,2017,1344188,53182,58350,57673,76677,90830,79056,77124,95067,97747,116297,111873,122331,98507,74093,50201,46257,26215,9676,2558,430,0,1329933,49880,53989,52417,67369,72660,61713,67855,86552,91058,105329,103783,118960,98821,78132,61534,70902,51025,26270,9205,2150,329
South Gyeongsang,2017,1690671,73611,84723,82789,104728,119226,98886,101415,133371,134094,154530,140076,148028,110984,77433,51685,41683,22875,8194,2001,315,0,1669413,69527,79465,75648,93430,95908,82113,92208,124132,127607,145551,132212,144188,111013,81595,63676,66968,47937,25862,8470,1666,237
Jeju,2017,328329,15162,17844,18123,21094,23010,18879,18873,25360,27582,31684,27985,25903,18951,13049,10480,7970,4582,1423,287,83,0,323401,14305,16777,16461,19117,20580,16989,18116,24451,25356,28735,25049,24452,18992,13831,12101,11314,8872,5042,1976,767,118
Countrywide,2018,25608849,1012130,1195428,1198754,1457958,1788071,1786620,1633367,2058006,1970928,2289383,2128174,2141315,1725187,1142459,859317,671864,370630,135934,35175,7494,0,25716596,961611,1131278,1122934,1340393,1612910,1603512,1533091,1985382,1902706,2223939,2089504,2133132,1766191,1232703,997579,928863,650785,340896,124074,30796,4317
Seoul,2018,4690012,166380,187148,195475,242887,321473,389534,360772,404465,358784,414498,367666,367253,311488,214862,167425,126682,63083,22541,6022,1438,0,4906981,157916,178032,183591,229263,332736,395369,362676,403116,362798,423075,380814,392513,344158,241027,194805,154758,96714,48793,19329,4827,671
Busan,2018,1673625,60232,68891,67133,86568,116197,116536,99795,129908,120802,140086,133693,147942,134629,94816,69208,51613,24907,8354,1933,354,0,1730128,56841,65345,63151,78711,105049,105076,94673,126028,117096,141899,141420,161044,145416,106269,80250,68543,42681,21126,7681,1614,215
Daegu,2018,1209040,45556,54379,56850,74185,91856,86517,72303,89265,89780,107302,104442,103977,81635,56677,38896,31355,16689,5778,1351,231,0,1233939,43532,51400,52418,65919,79421,71882,63895,90222,90842,112308,108491,109184,86466,65000,48240,44823,29432,14468,4833,1031,132
Incheon,2018,1465855,59061,69733,68469,81874,103737,109125,97019,124104,116369,131735,124568,128902,96434,57730,42421,30232,16239,5937,1702,428,0,1460382,56280,66050,64889,76384,94824,99883,90777,117742,110387,130045,126828,126424,96758,60033,48249,41832,29247,16014,6085,1433,218
Gwangju,2018,717894,29820,37831,39214,49893,58260,49123,43145,57185,56903,64325,58706,54318,40717,27833,21679,16328,8604,3080,773,148,0,732410,28141,35440,36571,46047,52797,44947,41477,57316,57419,65605,59632,56398,43636,31788,25976,22421,15039,7972,2891,774,123
Daejon,2018,738143,30250,35862,37352,45924,56952,55530,48598,57663,56369,66635,60009,58797,46941,30057,21452,16251,8987,3381,940,179,0,741090,28417,33912,34777,42281,52332,48285,44186,57023,57072,67060,60752,60582,48839,31863,24539,21977,15295,8118,2962,713,105
Ulsan,2018,590317,26026,29869,28822,35316,43984,41394,37654,49045,45366,51931,54222,52809,38913,23853,14860,9940,4397,1541,309,63,0,559181,24515,27924,26237,31072,34959,32646,32607,45947,42892,52767,52334,49549,37830,23421,15565,13171,8917,4642,1742,398,46
Sejong,2018,156292,10786,11990,10153,8240,8417,8832,11585,16710,15553,14697,10357,9341,7310,4561,3104,2456,1453,554,162,30,0,156763,10231,11439,10214,8078,7484,9243,12190,17755,15210,12539,9496,8914,7359,4873,3468,3413,2588,1572,558,109,30
Gyeonggi,2018,6517111,283610,336410,329884,382810,451552,461798,429747,558791,538341,611188,547433,527003,393002,237325,179350,135450,75843,28120,7453,1843,0,6445834,270007,319021,312972,355752,411194,415887,405354,541518,522263,595168,535777,505982,390366,251810,206804,181581,126604,65790,25010,6104,870
Gangwon,2018,769898,25541,32078,34233,43999,54794,47407,40150,50409,53320,66592,65338,71536,63286,38405,32168,27520,15675,5311,1657,440,0,759619,24449,30556,31651,39961,43845,36138,35094,48366,50870,60656,60929,70535,62040,40988,37372,38284,26746,13968,5629,1330,212
North Chungcheong,2018,803528,31272,37001,37396,45875,56703,53798,48116,59070,58561,68982,67904,69926,58866,37372,27946,23862,14218,5000,1375,264,0,785446,30137,35214,34648,41612,47798,41897,42040,54917,54554,64296,64165,66870,57717,38659,31969,33948,25781,13357,4580,1110,177
South Chungcheong,2018,1074641,44135,52733,51446,59382,68893,66299,66892,86305,82200,93134,86408,88517,71823,50450,39067,32823,22425,9016,2235,415,0,1037298,42488,49600,48052,54428,58172,54179,57638,76223,72410,80844,77125,82480,70922,52687,43772,47556,38887,20672,7095,1825,243
North Jeolla,2018,907576,32312,41614,43698,55120,64618,51741,45457,60834,65276,79385,76493,78284,65589,47828,38222,31423,19509,7736,2036,360,0,917322,30697,39332,40689,51097,55723,44654,42641,57440,61538,72459,70618,76302,65707,51358,44753,47528,36170,19658,6903,1790,265
South Jeolla,2018,937150,33522,40663,41566,53902,63063,49408,44898,61909,64453,80221,83082,84933,69776,52490,42997,37806,21708,8298,2030,388,0,933218,32009,39009,38769,49054,52042,41588,40832,55646,56118,68043,70228,78510,67019,54778,51592,59042,44568,23866,7753,2451,301
North Gyeongsang,2018,1337820,49746,57587,56941,72332,88477,79138,73406,94099,93473,113452,114696,122885,103658,75949,53469,47034,27738,10534,2701,469,0,1321505,46739,53479,51852,63732,70430,60979,63054,86517,85706,103306,106696,118901,102520,80451,61924,71357,53310,27843,9983,2372,354
South Gyeongsang,2018,1686844,69075,83634,82126,99171,116223,100416,95568,132259,128726,153281,144350,148056,120109,79331,55833,42860,24276,8958,2210,349,0,1666966,65346,78507,75945,88353,93803,82639,86393,124218,121071,144675,138341,143571,118810,83739,65707,67258,49873,27371,9202,1908,236
Jeju,2018,333103,14806,18005,17996,20480,22872,20024,18262,25985,26652,31939,28807,26836,21011,12920,11220,8229,4879,1795,286,95,0,328514,13866,17018,16508,18649,20301,18220,17564,25388,24460,29194,25858,25373,20628,13959,12594,11371,8933,5666,1838,1007,119
Countrywide,2019,25609835,946292,1190600,1183827,1379918,1730297,1836009,1621821,1978717,1948490,2258680,2165782,2132475,1830938,1213421,908185,679826,402911,152883,40097,7850,0,25739567,898332,1129051,1112342,1272320,1576324,1635613,1514055,1898537,1892134,2185457,2134250,2112861,1880590,1299096,1039383,925938,688004,369525,139091,31999,4665
Seoul,2019,4661515,154662,185221,190154,229388,308438,400197,358347,388069,352449,405402,372262,361086,323389,224595,174183,129763,70119,25091,6984,1561,0,4899441,145982,175934,179156,217211,329163,408361,360761,385818,360275,412910,385113,383442,358660,251688,203990,158030,103600,52337,21225,5046,739
Busan,2019,1657053,55349,69514,66017,80512,110457,117315,97719,122549,119739,136992,134420,142834,137846,99933,72846,53275,27648,9390,2284,375,0,1719513,52590,65749,62067,74110,101492,105058,92749,118659,116739,137497,142249,154769,152360,109951,84868,69529,45802,22789,8502,1736,248
Daegu,2019,1195126,42505,54039,55279,68872,87174,86403,72065,84594,87296,104556,104548,102172,86824,58873,41585,31616,18144,6804,1513,244,0,1224175,40284,51392,51204,61548,76516,72387,62902,84220,89280,108381,109702,106889,93157,66806,50667,44910,31440,15923,5351,1064,152
Incheon,2019,1466310,55212,69083,68073,77390,99622,112279,96306,118614,116076,130520,125092,128775,104104,61938,45287,31129,17756,6657,1908,438,0,1462093,52313,65622,64509,72607,92113,101370,89798,112539,110353,126958,128080,127176,104434,64407,50914,42064,30967,17168,6856,1625,220
Gwangju,2019,716003,27662,37404,38517,46771,56639,51425,42168,54898,55834,64399,59912,54235,43858,28588,23003,16699,9390,3487,957,147,0,731379,26262,35155,35936,43026,52111,46681,40390,54222,56721,65554,61048,55808,47118,32445,27689,22643,15769,8600,3296,777,128
Daejon,2019,730521,27425,35143,36123,43213,54951,56649,47933,54837,54661,64989,61197,58228,49267,31896,22706,16506,9809,3803,989,176,0,733785,25988,33221,33806,39831,50995,49196,42760,53464,55535,64930,62202,59462,51412,34169,25686,22045,16194,8759,3261,768,101
Ulsan,2019,586217,23952,29789,28646,32847,41716,41616,37030,46617,45432,50400,54056,52907,41824,25744,16274,10246,4941,1754,364,59,0,555695,22557,28044,26267,28890,33096,32337,31595,43559,42563,50926,53280,49602,40922,25221,16583,13475,9346,5007,1966,417,42
Sejong,2019,169262,11214,12934,11209,8883,8672,9652,12466,17440,16858,16221,11715,10108,8235,5166,3512,2525,1566,656,195,33,0,170172,10780,12312,11110,8828,7922,10043,13119,18271,16897,14227,10780,9600,8248,5395,3877,3434,2783,1715,675,130,26
Gyeonggi,2019,6599590,269215,337786,329196,367372,444310,482813,435081,545836,539669,610239,561956,536051,426700,258771,190416,138750,82853,31881,8602,1881,0,6524929,255826,321328,312750,342782,406631,428531,407348,523699,524985,591537,555178,516046,423396,271833,216401,183916,135038,71919,28319,6509,957
Gangwon,2019,768768,24461,31601,33395,41458,53019,48074,39852,48446,51583,64919,66484,70404,66924,42747,32429,27639,17279,5824,1724,447,0,759026,23418,30038,31103,37616,42670,36642,34727,46145,49591,59650,62011,68418,66105,44726,36779,37897,28534,15034,6286,1399,237
North Chungcheong,2019,804938,29484,36556,36990,43422,54817,55920,47403,57302,57489,67669,69746,69730,62489,40334,29255,23439,15350,5703,1526,288,0,784797,28036,35169,34422,39370,46368,42357,41094,52920,53633,62616,66436,65917,61180,41792,32245,33217,26971,14474,5229,1176,175
South Chungcheong,2019,1074505,41173,52021,51319,56635,67082,67326,65603,82798,81149,92375,88195,89333,75968,52839,41628,32508,23371,10220,2476,437,0,1034724,39397,49255,47882,52119,56657,53749,56051,72991,71841,80000,78537,81872,74700,55323,45134,46210,40353,22514,7982,1870,287
North Jeolla,2019,898467,29387,40897,42734,51699,62171,52544,43788,57396,62365,78423,77540,77321,68858,50179,40480,30835,20554,8558,2307,386,0,908636,28147,38616,39810,48046,53278,45082,40843,54526,59117,72122,71493,74476,68723,53173,46747,45830,37484,21371,7726,1742,284
South Jeolla,2019,931832,31361,39804,40598,50316,61487,51538,43209,58821,62615,78720,83638,84240,74424,53669,45484,36776,23234,9030,2412,414,0,924358,29899,38314,38341,45821,49666,41520,39311,52565,55478,66686,70370,76645,71411,55690,52694,56386,46410,25490,8981,2372,308
North Gyeongsang,2019,1333350,45904,57282,56247,67865,85598,79459,71999,89809,91688,110919,116315,121346,110516,79420,57767,46084,29793,11895,2925,479,0,1315156,43473,53451,51611,59781,67641,60825,60307,82394,84123,101196,108068,115241,110057,83619,63979,68845,56153,30650,10957,2402,383
South Gyeongsang,2019,1681702,63319,83512,81346,93604,111933,101747,93047,125718,127465,150045,148904,146518,127295,84840,59905,43608,25942,10003,2521,396,0,1661004,60210,78375,75787,82931,90252,82635,83112,118192,120207,141051,142995,141942,126521,88108,68226,66187,51974,29731,10261,2059,248
Jeju,2019,334676,14007,18014,17984,19671,22211,21052,17805,24973,26122,31892,29802,27187,22417,13889,11425,8428,5162,2127,410,89,0,330684,13170,17076,16581,17803,19753,18839,17188,24353,24796,29216,26708,25556,22186,14750,12904,11320,9186,6044,2218,907,130
Countrywide,2020,25602326,860064,1174501,1202126,1271894,1689155,1869453,1625962,1888354,1976184,2190700,2202658,2098435,1926921,1330138,960374,684403,423848,174025,44106,8052,0,25746790,816587,1116625,1131673,1177893,1548754,1669284,1499320,1807267,1910701,2126679,2159898,2071399,1970970,1428529,1093475,915158,707060,402868,152793,34636,5221
Seoul,2020,4623790,139161,180726,190407,209253,299113,403964,359742,370636,354779,388209,378076,351580,330605,241855,181049,131232,74996,28895,7773,1539,0,4882078,131209,171870,179984,198848,327041,420570,360202,369053,361415,396276,389108,369468,365848,273962,212445,160408,107696,57420,23037,5391,827
