"링크ID(T_LINK_ID)","요일(DAY)","시간(TIME)","날씨(WEATHER)","목적지(DEST)","승차건수(CNT_ON)","하차건수(CNT_OFF)","공차건수(CNT_EMP)"
"T_175857","3","18","-1","1141","2",,
"T_177548","5","39","1","","1",,2153
"T_146397","7","02","-1","4119","1",,458
"T_166370","1","03","-1","1114","",1,
"T_179763","1","33","1","1123","",,
"T_167553","7","23","3","1165","",23,
"T_180693","3","29","2","1121","",,
"T_165341","3","23","1","","15",,
"T_174083","5","28","1","1121","",,
"T_185424","7","06","2","","1",,
"T_164276","2","39","2","1126","1",,
"T_181216","4","39","2","1174","7",48,
"T_189295","4","45","1","1141","1",,
"T_180260","7","34","1","1132","",,168
"T_158931","5","18","1","1144","14",,
"T_161016","7","00","1","1144","3",10,
"T_162120","1","02","-1","","1",,
"T_163369","1","03","1","1147","1",,1
"T_188896","1","14","-1","1138","",,273
"T_151341","4","37","-1","1168","2",,
"T_166108","2","06","-1","1168","1",32,37
"T_172418","1","03","1","1150","5",,
"T_195517","2","23","3","2824","1",,
"T_195009","3","47","-1","1141","1",,44
"T_174604","4","03","1","","1",1,
"T_159290","7","38","1","","",,11
"T_166716","5","42","1","1111","1",2,
"T_153224","6","01","1","1171","2",,2
"T_175293","3","37","-1","","1",,29
"T_174135","4","25","1","1132","",,155
"T_152406","7","43","-1","1120","6",,
"T_163640","2","18","1","4121","4",,
"T_190346","3","14","1","1132","1",,
"T_156854","1","16","1","1156","",12,5
"T_169715","1","44","-1","1135","",,
"T_173654","5","33","1","1129","1",,
"T_154715","4","11","-1","1132","9",,
"T_182459","2","24","1","1150","",4,5
"T_151451","5","12","1","1168","1",,
"T_168118","5","07","-1","4129","1",5,23
"T_160248","1","20","1","1141","",,
"T_196343","6","37","1","1132","",5,
"T_160521","5","02","1","1153","1",,
"T_190317","7","39","1","1126","",,
"T_166656","5","31","1","1130","2",45,
"T_187381","5","24","-1","1135","",,84
"T_160486","6","18","1","","",23,
"T_149527","5","27","1","","1",,
"T_193135","2","34","1","","1",1,
"T_150575","5","12","-1","1126","5",,258
