cols/부착대관리번호,cols/상태 (공통),cols/부착방식,cols/부착대방향,cols/신호등수량,cols/배면등수량,cols/신호등종류,cols/지주관리번호,cols/신호발광구분,cols/작업구분 (공통),cols/표출구분 (공통),cols/신규정규화ID,cols/부착대관리번호.1,cols/이력ID,cols/X좌표,cols/Y좌표,cols/공사형태 (공통),lng,lat,inputaddr,z,hc,cols/부착대길이,cols/고가 (공통),cols/배면등종류,cols/공사관리번호,cols/설치일,cols/제조회사,cols/교체일
03-0000022922,1,3,194,2,0,2,02-0000115205,1,4,1,,03-022922,91543,202008.82225,556721.4676,,127.02275113425134,37.61007579731148,,,,6,1,,2010-0501-001,,,
03-0000043629,1,3,264,1,0,7,02-0000129809,1,4,1,,03-043629,91544,206576.69572,561680.98823,,127.07452966725971,37.654739026636534,,,,999,1,,2008-0101-017,,,
03-0000019428,1,3,156,3,1,2,02-0000101227,1,4,1,,03-019428,92493,186838.70432,550430.29,,126.85105351148835,37.55330093633537,,,,9,1,2,2008-0101-591,,,
03-0000019441,1,3,17,2,0,1,02-0000062394,1,4,1,,03-019441,92494,196834.28599,548468.72734,,126.96418199366188,37.53571578348867,,,,7,1,,2010-0101-065,,,
03-0000019451,1,2,252,1,0,7,02-0000062567,2,1,2,,03-019451,92495,188436.52033,547149.97714,,126.86918760357784,37.52376681284618,,,,999,1,,2007-1101-058,,,
03-0000019545,1,3,296,1,1,2,02-0000112996,2,2,1,,03-019545,92504,192237.72171,546533.90559,,126.91219531662767,37.51825579586827,,,,1,1,2,2008-1101-677,,,
03-0000019562,1,4,285,1,0,12,02-0000062751,1,2,1,,03-019562,92506,183040.27458,551050.31167,,126.80805251955483,37.55882523402923,,,,999,1,,2000-0000-000,,,
03-0000019572,1,4,129,1,0,12,02-0000062759,1,2,1,,03-019572,92507,183070.22161,550983.28057,,126.80839300005921,37.55822183962714,,,,999,1,,2000-0000-000,,,
03-0000019582,1,2,270,1,0,7,02-0000062768,1,4,1,,03-019582,92508,197535.63369,546790.04792,,126.97212291745826,37.520592993334176,,,,999,1,,2000-0000-000,,,
03-0000019591,1,3,21,2,2,2,02-0000101208,2,4,1,,03-019591,92509,191718.9193,546333.96922,,126.90632903009454,37.516449856201106,,,,5,1,2,2009-0201-012,,,
