cols/부착대관리번호,cols/상태 (공통),cols/부착방식,cols/부착대방향,cols/신호등수량,cols/배면등수량,cols/신호등종류,cols/지주관리번호,cols/신호발광구분,cols/작업구분 (공통),cols/표출구분 (공통),cols/신규정규화ID,cols/부착대관리번호.1,cols/이력ID,cols/X좌표,cols/Y좌표,cols/공사형태 (공통),lng,lat,inputaddr,z,hc,cols/부착대길이,cols/고가 (공통),cols/배면등종류,cols/공사관리번호,cols/설치일,cols/제조회사,cols/교체일
03-0000061663,1,3,62,2,1,1,02-0000173751,2,1,2,,03-061663,89956,196328.07294,552938.91458,,126.95843215570764,37.57599017583251,,,,3,1,1,2012-0101-057,,관급,
03-0000031295,1,3,330,2,1,2,02-0000077075,2,1,2,,03-031295,89957,200473.54292,556931.16573,,127.005363297557,37.6119672258447,,,,7,1,2,2009-0201-003,,,
03-0000061664,1,2,89,1,0,7,02-0000173752,2,1,2,,03-061664,89958,197572.60626,552719.99867,,126.97252154824005,37.574021875611884,,,,999,1,,2000-0000-000,,,
03-0000061665,1,2,324,1,0,7,02-0000077075,2,1,2,,03-061665,89959,200473.54292,556931.16573,,127.005363297557,37.6119672258447,,,,999,1,,2012-0101-057,,,
03-0000011888,1,3,183,2,1,1,02-0000012422,2,1,2,,03-011888,89960,197239.68758,553447.34937,,126.96875012201191,37.580574325625584,,,,5,1,1,2009-0101-053,,,
03-0000029297,1,3,273,1,1,1,02-0000012422,2,1,2,,03-029297,89961,197239.68758,553447.34937,,126.96875012201191,37.580574325625584,,,,5,1,1,2009-0101-053,,,
03-0000011861,1,3,88,1,0,3,02-0000012788,2,1,2,,03-011861,89963,198943.89872,552560.60377,,126.988045008286,37.57258832835543,,,,1,1,,2009-0201-003,,,
03-0000003034,1,3,344,2,0,2,02-0000012496,2,1,2,,03-003034,89965,197614.2001,554128.11775,,126.97298781334177,37.586709048925236,,,,6,1,,2012-0101-057,,,
03-0000061666,1,2,80,1,0,12,02-0000095995,2,1,2,,03-061666,89966,197612.95774,554219.41595,,126.97297344984526,37.58753163582147,,,,0,1,,2012-0101-057,,관급,
03-0000003056,1,2,187,1,0,19,02-0000096034,2,1,2,,03-003056,89967,197381.03483,553937.63614,,126.97034858157116,37.584992189553205,,,,,1,,2012-0101-057,,,
03-0000046847,1,2,94,1,0,7,02-0000096034,2,1,2,,03-046847,89968,197383.79404,553944.29648,1,126.97037979703335,37.58505220659341,,,,,1,,2005-0501-008,,,
03-0000003033,1,2,72,1,0,12,02-0000095993,2,1,2,,03-003033,89969,197603.82281,554023.87753,,126.97287066183907,37.585769825068674,,,,999,1,,2012-0101-057,,관급,
03-0000027096,1,2,171,1,0,14,02-0000092736,2,4,1,,03-027096,89970,183889.5231,551249.41844,,126.81765976209246,37.56063440559143,,,,999,1,,2000-0000-000,,,
03-0000027097,1,3,80,1,1,2,02-0000092736,2,4,1,,03-027097,89971,183889.5231,551249.41844,,126.81765976209246,37.56063440559143,,,,6,1,1,2000-0000-000,,,
03-0000027096,1,2,171,1,0,14,02-0000092736,2,1,1,,03-027096,89972,183889.5231,551249.41844,,126.81765976209246,37.56063440559143,,,,999,1,,2000-0000-000,,,
03-0000027097,1,3,80,1,1,2,02-0000092736,2,1,1,,03-027097,89973,183889.5231,551249.41844,,126.81765976209246,37.56063440559143,,,,6,1,2,2000-0000-000,,,
03-0000061670,1,3,203,3,0,3,02-0000173753,2,4,1,,03-061670,89974,205575.32253,545521.37717,,127.06305880238341,37.509148679192855,,,,11,1,3,2000-0000-000,,,
03-0000061670,1,3,203,3,3,3,02-0000173753,2,1,2,,03-061670,89975,205575.32253,545521.37717,,127.06305880238341,37.509148679192855,,,,11,1,3,2000-0000-000,,,
03-0000061671,1,3,292,2,0,3,02-0000157680,2,4,1,,03-061671,89976,205609.34624,545519.47674,,127.06344360745884,37.509131350179864,,,,9,1,3,2000-0000-000,,,
03-0000061671,1,3,292,2,0,3,02-0000157680,2,2,1,,03-061671,89977,205609.34624,545519.47674,,127.06344360745884,37.509131350179864,,,,9,1,3,2000-0000-000,,,
03-0000061672,1,2,293,1,0,7,02-0000157680,2,4,1,,03-061672,89978,205609.34624,545519.47674,,127.06344360745884,37.509131350179864,,,,999,1,,2000-0000-000,,,
03-0000032360,1,2,178,1,0,7,02-0000016937,2,1,2,,03-032360,89185,183466.59414,552049.37156,,126.8128549972563,37.567834425470814,,,,,1,,2009-1201-004,,,
03-0000060546,1,3,181,1,0,2,02-0000016949,2,1,2,,03-060546,89186,183362.51538,552398.37119,,126.8116689971007,37.570977006076944,,,,5,1,,2000-0000-000,,,
03-0000060547,1,3,3,1,0,2,02-0000016948,2,1,2,,03-060547,89187,183349.80561,552355.00826,,126.81152611180737,37.570586080635486,,,,5,1,,2000-0000-000,,,
03-0000060548,1,3,183,1,0,2,02-0000016945,2,1,2,,03-060548,89188,183372.11496,552228.50959,,126.81178151204566,37.56944674247629,,,,5,1,,2000-0000-000,,,
03-0000060549,1,3,0,1,0,2,02-0000016946,2,1,2,,03-060549,89189,183357.31115,552192.05545,,126.81161476914102,37.569118026808596,,,,5,1,,2000-0000-000,,,
03-0000019920,1,3,75,1,0,1,02-0000064220,2,1,2,,03-019920,89190,183425.94781,551857.98689,,126.81239923995415,37.56610933653118,,,,6,1,,2009-1201-004,,,
03-0000019919,1,3,347,2,1,1,02-0000064220,2,1,2,,03-019919,89191,183425.94781,551857.98689,,126.81239923995415,37.56610933653118,,,,5,1,1,2009-1201-004,,,
03-0000060550,1,2,317,1,0,7,02-0000172491,2,4,1,,03-060550,89192,183314.74873,551665.98606,,126.81114495731761,37.56437741914306,,,,999,1,,2000-0000-000,,,
03-0000031723,1,2,287,1,0,10,02-0000087444,1,2,1,,03-031723,92602,204131.97765,561274.70398,,127.04682288620484,37.651092727152985,,,,999,1,,2000-0000-000,,,
03-0000031734,1,3,283,3,1,2,02-0000116347,1,2,1,,03-031734,92603,205643.61259,561387.96338,,127.06395334953903,37.65210513190375,,,,6,1,2,2009-0101-018,,,
03-0000031746,1,2,342,1,0,10,02-0000085380,1,2,1,,03-031746,92604,203374.89942,561954.13953,,127.03824694277434,37.657217414585496,,,,999,1,,2000-0000-000,,,
03-0000031764,1,3,256,2,1,1,02-0000086280,1,4,1,,03-031764,92606,203918.78992,561691.30447,,127.04440931409648,37.65484715855733,,,,7,1,1,2009-0101-013,,,
03-0000031775,1,2,308,1,0,7,02-0000087212,1,4,1,,03-031775,92607,202675.55449,562855.57424,,127.0303247355696,37.66534147636165,,,,999,1,,2009-0201-003,,,
03-0000031786,1,3,77,3,1,3,02-0000116494,1,4,1,,03-031786,92608,204855.41352,560671.24857,,127.05501672767032,37.6456521578397,,,,7,1,3,2008-0101-018,,,
03-0000028367,1,2,19,1,0,7,02-0000029286,1,4,1,,03-028367,92609,190391.8585,540308.7581,,126.89139670428065,37.46214947584727,,,,999,1,,2011-0101-021,,,
03-0000026681,1,2,56,1,0,7,02-0000090847,2,4,1,,03-026681,92554,187358.29034,551539.51611,,126.85691454410818,37.563302272528325,,,,999,1,,2010-0701-002,,,
03-0000026695,1,3,50,2,1,1,02-0000090553,1,4,1,,03-026695,92555,202309.80022,558213.13669,,127.02616460153595,37.623514852862286,,,,5,1,1,2009-0201-003,,,
03-0000026703,1,2,198,1,0,7,02-0000090625,1,4,1,,03-026703,92556,202329.32716,558512.39281,,127.02638674886562,37.626211062126465,,,,999,1,,2000-0000-000,,,
03-0000026713,1,3,28,4,2,1,02-0000090648,1,4,1,,03-026713,92557,197501.1955,543320.20052,,126.97174513502543,37.489329393249854,,,,6,1,1,2008-0201-006,,,
03-0000028387,1,3,235,2,0,2,02-0000009461,2,1,2,,03-028387,92611,198400.51793,550312.34035,,126.98189887804223,37.552330769869634,,,,7,1,,2004-0101-128,,,
03-0000028398,1,2,256,1,0,7,02-0000022712,2,4,1,,03-028398,92612,190900.90094,541358.53657,,126.89713757473524,37.47161322979437,,,,999,1,,2007-0701-450,,,
03-0000028408,1,2,261,1,0,10,02-0000022941,1,4,1,,03-028408,92613,193590.67555,543967.58345,,126.92752189131731,37.49514350664382,,,,999,1,,2007-0201-663,,,
03-0000028419,1,2,270,1,0,7,02-0000096868,1,4,1,,03-028419,92614,191522.74345,540380.57648,,126.90417854465498,37.46280762313421,,,,999,1,,2008-0401-866,,,
03-0000028437,1,3,240,1,0,2,02-0000006971,1,4,1,,03-028437,92615,193824.47034,550599.94774,,126.93010996956227,37.55490280922337,,,,3,1,,2000-0000-000,,,
03-0000028457,1,2,193,1,0,7,02-0000022329,2,1,2,,03-028457,92616,191656.85938,539663.53125,,126.90570261591083,37.45634818564861,,,,999,1,,2004-0101-084,,,
03-0000020421,1,4,327,1,0,12,02-0000101457,1,2,1,,03-020421,93632,185387.97649,552527.47474,,126.83459390273734,37.572174567289366,,,,999,1,,2000-0000-000,,,
03-0000020429,1,3,83,3,1,2,02-0000113501,1,4,1,,03-020429,93633,185324.88415,552550.15183,,126.8338792550412,37.57237788307114,,,,9,1,2,2008-0101-025,,,
03-0000020439,1,2,101,1,0,7,02-0000113540,1,4,1,,03-020439,93634,186383.57516,547049.90859,,126.84596549150051,37.522837190221686,,,,999,1,,2009-1201-004,,,
03-0000020448,1,2,280,1,0,10,02-0000088076,1,2,1,,03-020448,93635,203327.68174,558247.45494,,127.03769495827761,37.623820935851306,,,,999,1,,2003-0101-036,,,
03-0000020449,1,2,10,1,0,10,02-0000065932,1,4,1,,03-020449,93636,187285.50687,547300.67391,,126.85616413992946,37.52510945068529,,,,999,1,,2009-1201-004,,,
03-0000020456,1,3,14,2,2,3,02-0000065878,1,2,1,,03-020456,93637,200899.92544,552460.47785,,127.01018696941361,37.57168636453758,,,,7,1,3,2000-0000-000,,,
03-0000020464,1,3,85,2,0,2,02-0000065886,1,4,1,,03-020464,93638,200776.83821,552397.94292,,127.00879358125853,37.571123039831754,,,,6,1,,2003-1101-131,,,
03-0000020473,1,2,253,1,0,7,02-0000066784,1,4,1,,03-020473,93639,183379.35146,552881.12899,,126.81184863270126,37.5753269097683,,,,999,1,,2009-1201-004,,,
03-0000020481,1,2,171,1,0,7,02-0000066804,1,4,1,,03-020481,93640,183430.40276,552992.62828,,126.8124240279702,37.576332426548554,,,,999,1,,2008-0101-025,,,
03-0000020488,1,2,0,1,0,7,02-0000066811,1,4,1,,03-020488,93641,183355.40269,552862.62266,,126.8115779459851,37.57515973722866,,,,999,1,,2009-1201-004,,,
03-0000020497,1,3,7,3,1,3,02-0000113599,2,4,1,,03-020497,93642,183335.49355,552642.37389,,126.8113575751281,37.57317495814887,,,,7,1,3,2004-0101-132,,,
03-0000004873,1,2,84,1,0,10,02-0000023463,2,4,1,,03-004873,89020,196122.08604,542269.68329,,126.95615659221423,37.479859388136745,,,,999,1,,2006-0101-041,,,
03-0000010864,1,3,65,3,0,10,02-0000023463,2,4,1,,03-010864,89021,196122.08604,542269.68329,,126.95615659221423,37.479859388136745,,,,999,1,,2006-0101-041,,,
03-0000010864,1,3,65,1,0,2,02-0000023463,2,1,2,,03-010864,89023,196118.5,542275.2813,,126.9561160192261,37.479909811655766,,,,9,1,,2006-0101-041,,,
03-0000044722,1,2,64,1,0,7,02-0000132426,2,1,2,,03-044722,89025,196262.91245,542200.7515,,126.95774911445393,37.479238886576184,,,,,1,,2006-0101-041,,,
03-0000044720,1,2,244,1,0,7,02-0000132424,2,1,2,,03-044720,89026,196584.92188,542072.125,,126.96139029458226,37.47808119573858,,,,999,1,,2007-0201-663,,,
03-0000010771,1,3,241,2,0,2,02-0000132424,2,1,2,,03-010771,89027,196581.21875,542065.40625,,126.96134845944825,37.4780206454899,,,,11,1,,2007-0201-663,,,
03-0000032323,1,3,238,1,0,7,02-0000127364,2,1,1,,03-032323,89028,196861.14881,541848.89289,,126.96451417227745,37.47607083251429,,,,999,1,,2008-0201-006,,,
03-0000022259,1,2,60,1,0,7,02-0000073907,2,1,2,,03-022259,89029,196977.81271,541849.84891,,126.96583309496945,37.47607983508908,,,,,1,,2007-0201-663,,,
03-0000010895,1,3,62,2,0,2,02-0000073907,2,1,2,,03-010895,89030,196977.81271,541849.84891,,126.96583309496945,37.47607983508908,,,,11,1,,2005-0101-063,,,
03-0000009702,1,3,341,1,1,2,02-0000018736,2,1,1,,03-009702,89031,197104.90512,541815.30695,,126.96727005549262,37.475769015430004,,,,7,1,2,2007-0201-663,,,
03-0000009703,1,3,246,2,0,2,02-0000018736,2,1,1,,03-009703,89032,197105.32813,541804.78125,,126.96727487910326,37.47567417917762,,,,9,1,,2007-0201-663,,,
03-0000001347,1,2,156,1,0,2,02-0000019265,2,2,1,,03-001347,89033,197112.47078,541779.8157,,126.96735572669945,37.47544925948321,,,,1,1,1,2007-0201-663,,0,
03-0000010837,1,3,69,1,0,2,02-0000019265,2,1,2,,03-010837,89034,197114.7969,541787.8125,,126.96738199277688,37.47552131869141,,,,9,1,,2007-0201-663,,,
03-0000060220,1,3,71,2,0,2,02-0000172052,2,1,2,,03-060220,89035,197089.4063,541797.5,,126.96709490690016,37.47560852441904,,,,9,1,,2000-0000-000,,,
03-0000060221,1,2,331,1,0,7,02-0000172052,2,1,2,,03-060221,89036,197088.74236,541785.16011,,126.967087449627,37.47549733872086,,,,999,1,,2000-0000-000,,,
03-0000044214,1,2,180,1,0,10,02-0000131561,2,4,1,,03-044214,89037,196392.25735,541880.82667,,126.95921303253935,37.476356848001,,,,999,1,,2008-0401-868,,,
03-0000052086,1,2,181,1,0,7,02-0000131561,2,4,1,,03-052086,89038,196392.25735,541880.82667,,126.95921303253935,37.476356848001,,,,999,1,,2008-0201-006,,(주)포유,
03-0000001408,1,2,264,1,0,2,02-0000106584,2,2,1,,03-001408,88984,195728.47158,543004.24328,,126.9517021575913,37.4864761000719,,,,1,1,1,2011-0101-073,,,
03-0000010821,1,3,83,2,0,2,02-0000019330,2,2,1,,03-010821,88985,195742.1141,542988.12175,,126.95185650567626,37.486330906772835,,,,5,1,5,2006-0101-037,,,
03-0000001175,1,2,76,1,0,7,02-0000019536,2,1,1,,03-001175,88986,195926.99614,542951.00145,,126.95394715327123,37.48599728325057,,,,999,1,,2006-0101-037,,,
03-0000044214,1,2,270,1,0,10,02-0000131561,2,1,2,,03-044214,89039,196388.43666,541875.80416,,126.95916986274675,37.47631157978992,,,,,1,,2008-0401-868,,,
03-0000004873,1,2,92,1,0,7,02-0000023463,2,1,2,,03-004873,89022,196116.12064,542279.96209,,126.95608909366865,37.479951975997274,,,,,1,,2006-0101-041,,,
03-0000052086,1,2,181,1,0,7,02-0000131561,2,1,2,,03-052086,89040,196382.1387,541880.4934,,126.95909863883439,37.47635380566331,,,,,1,,2008-0201-006,,(주)포유,
03-0000060222,1,2,90,1,0,10,02-0000019415,2,1,2,,03-060222,89042,196365.83682,541898.57009,,126.95891425047586,37.476516614416795,,,,999,1,,2000-0000-000,,,
03-0000033653,1,3,136,1,0,2,02-0000104144,2,1,2,,03-033653,89043,193111.2008,552443.38767,,126.92202041427001,37.5715070682193,,,,3,1,,2012-0101-006,,,
03-0000028156,1,2,303,1,0,7,02-0000028144,2,1,2,,03-028156,91670,190450.98438,544179.15625,,126.8920148480222,37.49702267129642,,,,999,1,,2006-0201-023,,,
03-0000047956,1,3,50,1,0,7,02-0000068276,1,4,1,,03-047956,91671,188529.28035,546546.00465,,126.87024637696784,37.51832617471952,,,,999,1,,2012-0101-050,,,
03-0000048862,1,3,58,1,0,7,02-0000144892,2,1,2,,03-048862,91725,190643.36069,548227.31985,,126.89413882621996,37.533498684974326,,,,,1,,2006-1101-061,,,
03-0000047204,1,3,154,3,0,2,02-0000137902,2,1,1,,03-047204,91727,211041.35414,541146.03245,,127.12481577497425,37.46967739641638,,,,11,1,,2005-1301-005,,,
03-0000017169,1,3,80,3,1,2,02-0000052922,1,2,1,,03-017169,91728,208322.32392,550554.6916,,127.09418530445365,37.55447817209555,,,,5,1,2,2009-0101-015,,,
03-0000017179,1,2,266,1,0,7,02-0000053048,2,1,2,,03-017179,91729,207576.0625,549520.65625,,127.0857290614307,37.54516797435409,,,,999,1,,2006-1101-087,,,
03-0000017186,1,3,160,2,0,2,02-0000053175,2,4,1,,03-017186,91730,206347.05108,549171.05595,,127.07181882707798,37.542027357753966,,,,7,1,1,2003-1101-133,,,
03-0000017197,1,2,90,1,0,7,02-0000053212,2,1,2,,03-017197,91731,207507.64273,549500.70179,,127.08495463508065,37.54498874457079,,,,999,1,,2006-1101-087,,,
03-0000008217,1,3,141,1,0,2,02-0000011411,2,1,2,,03-008217,92683,192394.52145,557381.20344,,126.91385651302345,37.615990694850616,,,,5,1,,2006-0201-005,,,
03-0000008227,1,4,236,1,0,14,02-0000003562,1,2,1,,03-008227,92684,195159.77284,551639.06062,,126.94521506381503,37.56427315894299,,,,999,1,,2000-0000-000,,,
03-0000008235,1,3,157,2,0,2,02-0000007202,2,4,1,,03-008235,92685,193175.35693,556210.49935,,126.9227115580487,37.60544891187981,,,,7,1,1,2009-0701-002,,,
03-0000008245,1,2,172,1,0,7,02-0000003692,2,1,2,,03-008245,92686,194366.67354,553286.85092,,126.93622558062455,37.57911515376951,,,,999,1,,2006-0201-024,,,
03-0000008255,1,2,98,1,0,7,02-0000011430,2,2,1,,03-008255,92687,192994.3122,559315.86957,,126.92063150821599,37.633426532917035,,,,999,1,,2003-1401-002,,,
03-0000008263,1,2,179,1,0,7,02-0000002557,2,4,1,,03-008263,92688,194436.29007,551036.36638,,126.93703077537644,37.55883882307177,,,,999,1,,2010-1501-001,,,
03-0000008272,1,2,332,1,0,10,02-0000011379,1,4,1,,03-008272,92689,192932.74606,557648.62064,,126.91995012781827,37.61840438256658,,,,999,1,,2008-0201-005,,,
03-0000008282,1,4,329,1,0,12,02-0000006452,1,2,1,,03-008282,92690,195040.70675,548342.95841,,126.9438896610257,37.53457470650142,,,,999,1,,2000-0000-000,,,
03-0000023435,1,3,157,2,0,2,02-0000079794,2,1,2,,03-023435,92691,206065.24825,554360.65031,,127.06867305362235,37.588787264252964,,,,7,1,,2007-0201-488,,,
03-0000050581,1,2,225,1,0,7,02-0000153445,2,1,2,,03-050581,92692,190215.43203,545762.85431,,126.88933004537645,37.511289386193404,,,,999,1,,2008-1101-813,,진우,
03-0000026917,1,2,82,1,0,7,02-0000117256,2,2,1,,03-026917,92693,202054.27131,559606.51219,,127.02327397502921,37.63606958005645,,,,999,1,,2009-1101-092,,,
03-0000060531,1,3,97,2,0,3,02-0000159594,2,1,2,,03-060531,89130,182626.52398,552572.88515,,126.80333371941491,37.572535774656,,,,9,1,3,2000-0000-000,,,
03-0000053601,1,3,276,2,0,3,02-0000159593,2,1,1,,03-053601,89131,182618.3125,552599.25,,126.80324014170672,37.57277316434797,,,,9,1,,2009-0401-005,,삼일신호공사,
03-0000053602,1,2,275,1,0,7,02-0000159593,2,1,1,,03-053602,89132,182618.73438,552599.3125,,126.80324491586057,37.57277373542597,,,,999,1,,2009-0401-005,,삼일신호공사,
03-0000050475,1,2,277,1,0,7,02-0000109291,2,1,2,,03-050475,89133,204332.44968,542179.16576,,127.04898182096814,37.47904179845049,,,,999,1,,2000-0000-000,,,
03-0000034612,1,3,95,2,0,2,02-0000098650,2,1,2,,03-034612,89134,204354.53045,542166.55733,,127.04923138718314,37.478928091607656,,,,6,1,,2000-0000-000,,,
03-0000038279,1,3,132,2,0,2,02-0000120134,2,4,1,,03-038279,89135,204109.58931,541810.428,,127.04646014955037,37.475720454637774,,,,7,1,2,2005-0101-007,,,
03-0000014223,1,2,20,1,0,7,02-0000041489,2,4,1,,03-014223,89136,204107.24488,543880.86218,,127.04644519185365,37.494375245038675,,,,999,1,,2006-0201-011,,,
03-0000060901,1,3,0,3,0,3,02-0000041489,2,4,1,,03-060901,89137,204107.24488,543880.86218,,127.04644519185365,37.494375245038675,,,,11,1,3,2000-0000-000,,,
03-0000014223,1,2,20,1,0,7,02-0000041489,2,1,2,,03-014223,89138,204108.7969,543878.4063,,127.04646272855899,37.494353110494494,,,,7,1,,2006-0201-011,,,
03-0000060901,1,3,18,3,0,3,02-0000041489,2,1,2,,03-060901,89139,204114.6094,543881.8125,,127.04652847596947,37.494383774715814,,,,9,1,,2000-0000-000,,,
03-0000060902,1,2,198,1,0,7,02-0000173151,2,1,2,,03-060902,89140,204166.23438,543827.5625,,127.047111949962,37.49389474721016,,,,999,1,,2000-0000-000,,,
03-0000060903,1,3,196,3,0,3,02-0000173151,2,1,2,,03-060903,89141,204161.21875,543825.34375,,127.04705522048688,37.49387477872687,,,,11,1,,2000-0000-000,,,
03-0000034791,1,2,113,1,0,3,02-0000041474,2,2,1,,03-034791,89142,204165.08706,543858.16298,,127.04709914916292,37.49417046476838,,,,1,1,1,2006-0201-011,,,
03-0000014215,1,2,291,1,0,7,02-0000109872,2,1,2,,03-014215,89143,204165.25,543890.96875,,127.04710117732758,37.49446604621599,,,,999,1,,2006-0201-011,,,
03-0000060904,1,3,292,3,0,3,02-0000109872,2,1,2,,03-060904,89144,204168.4375,543885.71875,,127.04713719224304,37.49441872898956,,,,11,1,,2000-0000-000,,,
03-0000014214,1,3,292,3,0,3,02-0000041471,2,4,1,,03-014214,89145,204099.55364,543866.10342,,127.04635813627088,37.49424230178295,,,,11,1,1,2006-0201-011,,,
03-0000060905,1,2,0,1,0,7,02-0000041471,2,4,1,,03-060905,89146,204099.55364,543866.10342,,127.04635813627088,37.49424230178295,,,,999,1,,2000-0000-000,,,
03-0000014214,1,3,292,2,0,3,02-0000041471,2,1,2,,03-014214,89147,204107.71875,543861.34375,,127.04645044151154,37.49419938056938,,,,11,1,,2006-0201-011,,,
03-0000060905,1,2,293,1,0,7,02-0000041471,2,1,2,,03-060905,89148,204105.21875,543867.46875,,127.0464222054599,37.494254578342506,,,,999,1,,2000-0000-000,,,
03-0000044789,1,3,90,3,1,2,02-0000016197,2,2,1,,03-044789,89149,197774.81973,542638.26016,,126.97484116110554,37.483185754522744,,,,7,1,3,2008-0401-867,,,
03-0000005457,1,2,90,1,0,2,02-0000016197,2,2,1,,03-005457,89150,197774.81973,542638.26016,,126.97484116110554,37.483185754522744,,,,1,1,1,2008-0401-867,,,
03-0000061140,1,3,145,2,0,3,02-0000103409,2,1,2,,03-061140,89151,202415.3125,559985.34375,,127.02736566165036,37.63948191758158,,,,11,1,,2000-0000-000,,,
03-0000026623,1,2,54,1,0,7,02-0000090108,2,1,2,,03-026623,89152,202395.03787,560004.29648,,127.02713601078894,37.639652731831106,,,,999,1,,2009-1101-092,,,
03-0000032188,1,3,272,1,0,7,02-0000143491,2,2,1,,03-032188,89154,183787.07125,552670.87966,,126.81646878578267,37.5734398501446,,,,999,1,,2008-0101-025,,옵토피아,
03-0000032188,1,3,272,1,0,7,02-0000143491,2,2,1,,03-032188,89155,183787.07125,552670.87966,,126.81646878578267,37.5734398501446,,,,999,1,,2008-0101-025,,옵토피아,
03-0000032188,1,2,268,1,0,7,02-0000067413,2,1,2,,03-032188,89156,183779.0625,552670.78125,,126.81637812891098,37.57343882250172,,,,999,1,,2008-0101-025,,,
03-0000020538,1,3,270,2,0,7,02-0000067412,2,2,1,,03-020538,89157,183796.03735,552681.19674,,126.81657005403943,37.57353296377814,,,,999,1,,2007-1301-481,,,
03-0000060535,1,3,87,2,0,3,02-0000067548,2,1,2,,03-060535,89159,184162.75,552641.40625,,126.82072210645515,37.57318083238245,,,,9,1,,2000-0000-000,,,
03-0000020853,1,2,180,1,0,7,02-0000067544,2,1,2,,03-020853,89160,184145.19781,552669.34746,,126.82052281215405,37.57343227812224,,,,,1,,2008-0101-025,,,
03-0000020852,1,2,269,1,0,7,02-0000067544,2,1,2,,03-020852,89161,184153.73438,552670.78125,,126.82061941515221,37.57344534330789,,,,999,1,,2008-0101-025,,,
03-0000060536,1,3,264,2,0,3,02-0000067549,2,1,1,,03-060536,89162,184324.65625,552662.59375,,126.82255442645686,37.573374498825686,,,,10,1,,2000-0000-000,,,
03-0000060537,1,3,85,2,0,2,02-0000016183,2,1,1,,03-060537,89163,184330.46875,552633.65625,,126.8226208423049,37.57311387355485,,,,9,1,,2000-0000-000,,,
03-0000018026,1,3,178,2,0,2,02-0000056496,2,1,2,,03-018026,89164,183819.32813,552418.46875,,126.81683950328654,37.57116621906434,,,,9,1,,2009-1201-004,,,
03-0000004320,1,2,345,1,0,7,02-0000107133,2,1,2,,03-004320,89108,191405.20313,541242.71875,,126.90283989382428,37.47057452573856,,,,999,1,,2008-0201-006,,,
03-0000011173,1,3,343,2,0,2,02-0000107133,2,4,1,,03-011173,89109,191405.08278,541251.93169,,126.90283842588312,37.470657534067875,,,,5,1,3,2008-0201-006,,,
03-0000060550,1,2,317,1,0,7,02-0000172491,2,1,2,,03-060550,89193,183314.74873,551665.98606,,126.81114495731761,37.56437741914306,,,,,1,,2000-0000-000,,,
03-0000060551,1,3,319,1,0,2,02-0000172491,2,1,2,,03-060551,89194,183314.74873,551665.98606,,126.81114495731761,37.56437741914306,,,,6,1,,2000-0000-000,,,
03-0000060552,1,2,139,1,0,7,02-0000172494,2,1,2,,03-060552,89195,183331.87381,551665.30106,,126.81133880524256,37.56437155725111,,,,,1,,2000-0000-000,,,
03-0000060553,1,3,147,1,0,2,02-0000172494,2,1,2,,03-060553,89196,183331.87381,551665.30106,,126.81133880524256,37.56437155725111,,,,6,1,,2000-0000-000,,,
03-0000060554,1,3,131,3,1,1,02-0000172498,2,1,2,,03-060554,89197,182140.6936,548780.81258,,126.79792646992712,37.538360213425584,,,,5,1,1,2000-0000-000,,진우전자,
03-0000049780,1,3,220,2,0,2,02-0000150807,2,2,1,,03-049780,89199,184408.87971,550065.7777,,126.82356301931942,37.549978812600685,,,,7,1,3,2007-1101-579,,한국전기교통,
03-0000019744,1,2,254,1,0,14,02-0000016765,2,1,1,,03-019744,89200,183793.86704,550033.3189,,126.81660397435773,37.54967575613408,,,,999,1,,2000-0000-000,,,
03-0000019742,1,3,172,1,0,3,02-0000016765,2,1,1,,03-019742,89201,183793.86704,550033.3189,,126.81660397435773,37.54967575613408,,,,11,1,3,2008-0101-025,,,
03-0000019743,1,3,334,2,0,3,02-0000016765,2,1,1,,03-019743,89202,183793.86704,550033.3189,,126.81660397435773,37.54967575613408,,,,11,1,3,2008-0101-025,,,
03-0000062078,1,2,21,1,0,7,02-0000022054,2,2,1,,03-062078,89205,189800.62856,541526.12674,,126.88469704717872,37.47311174931536,,,,999,1,,2012-0101-042,,관급자재,
03-0000062079,1,2,201,2,0,3,02-0000174448,2,2,1,,03-062079,89206,189958.90346,541131.65271,,126.88649170177464,37.46955923628532,,,,6,1,3,2012-0101-042,,관급자재,
03-0000062080,1,2,199,1,0,7,02-0000174448,2,2,1,,03-062080,89207,189958.90346,541131.65271,,126.88649170177464,37.46955923628532,,,,999,1,,2012-0101-042,,관급자재,
03-0000062081,1,2,18,2,0,2,02-0000174449,2,2,1,,03-062081,89208,189951.00346,541103.85271,,126.886402776427,37.46930866995874,,,,7,1,2,2012-0101-042,,관급자재,
03-0000062082,1,2,19,1,0,7,02-0000174449,2,2,1,,03-062082,89209,189951.00346,541103.85271,,126.886402776427,37.46930866995874,,,,999,1,,2012-0101-042,,관급자재,
03-0000062083,1,2,289,2,2,2,02-0000174450,2,2,1,,03-062083,89210,189962.60346,541121.75271,,126.88653366270417,37.4694700765629,,,,5,1,2,2012-0101-042,,관급자재,
03-0000062084,1,2,17,1,0,7,02-0000174451,2,2,1,,03-062084,89211,189940.69841,541132.08773,,126.88628589953652,37.469562957990874,,,,999,1,,2012-0101-042,,관급자재,
03-0000062085,1,2,291,1,0,7,02-0000174452,2,2,1,,03-062085,89212,189939.50346,541120.05271,,126.88627255567879,37.46945450837658,,,,999,1,,2012-0101-042,,관급자재,
